id,open_data_platform,open_data_volume,institution_id,institution_name
4S8BiznKZZql5LZFvUUqQf,Own website,"26,731",df9a403975b84d73aae8b17ff8079d6c,Archives municipales de Toulouse
2JcGW9Nr89wopdXg6MtqNN,Flickr,654,df9a403975b84d73aae8b17ff8079d6c,Archives municipales de Toulouse
2l1gdytFMwFJVTPDV5ALvq,Europeana,"1,133,203",30e3a08396f54238bb660d48c5aef3cd,Kansalliskirjasto
75WlS2HEfwU6xMmeuEA232,Aggregator,"25,571",30e3a08396f54238bb660d48c5aef3cd,Kansalliskirjasto
6fP52CeQdkfUFEmM1qjPau,Own website,375,82eb180afb594735b589becb7d1767e5,Musée d'art contemporain de Montréal
5Kk84ys9xx4G8VsHKTPJhX,Own website,0,be509d89706d47e98519666e6a693640,"Royal Pavilion & Museums Trust, Brighton & Hove"
2rhaKxENvPhEwUJHvH2o94,Own website,53,a66e1d4952004e25affabeffd17976ce,Smithsonian Institution Libraries
4s10GZm98x1dipkg7K6Xy1,Own website,"5,478",1649eb4063a5420f9609670e2bd4c34a,Smithsonian Institution Archives
4k8JW73oCQIpeVfA91UIu1,Flickr Commons,"3,496",1649eb4063a5420f9609670e2bd4c34a,Smithsonian Institution Archives
1L7HGLKFZVf6YwJ0wRtFoU,Own website,"3,883",fd20cd157179445a80e110f4e53ab697,Smithsonian Gardens
19DLGusROkgq3dfMM265jU,Own website,"12,226",99e4963f14d74633a1d228ac800d47cf,Smithsonian American Art Museum
7AzHrQZUiXsqP0Q0WUlFEp,Flickr Commons,"3,177",b35c6fbae0a64c799334c9816b7fd9dd,Oregon State University Special Collections & Archives
79ZKx8kTTln6FVt0bfTiaq,Own website,"314,460",5b6e133f2cf14eb69bbc1a1b3bfc7b4f,New York Public Library
1VAZnR0INcgj7alxHUxjPX,Flickr Commons,"2,525",5b6e133f2cf14eb69bbc1a1b3bfc7b4f,New York Public Library
6E3N0NrPy5lmDRMXolcuaU,Own website,"3,526",9aa0f7c337184e71915088a895f2b65c,National Postal Museum
7vhNPLvos8nOuI4oVF8PNi,Own website,"10,700",2fc9d953f569450b92309d9a2d25c9a7,National Portrait Gallery
54kWO1TEFFd0mYk6ePGABk,Own website,180,8dbecb392966421181023bd45878fde3,National Museum of the American Indian
5XbZ8W4BEAeD21O1QSuosd,Own website,"3,839,772",795bbed577b743ebb2350e92c550221d,National Museum of Natural History
1CALSYxaC1ExFwJu4dkJTr,Own website,136,f3dd0550e5b64b2495e50422d6af1721,National Museum of African Art
7AZISPDNC5r5mvFifEZymW,Own website,"2,494",fe120fcdec5548dfa808a23d5160e1ea,National Museum of African American History and Culture
Io62pWy8nhhIyHyAQ3o35,Own website,"54,939",eaee91ca20d64726a172e2d32ad71328,National Gallery of Art
3t8CeFuG3Hj9byfr1qI5jz,Wikimedia Commons,"58,660",eaee91ca20d64726a172e2d32ad71328,National Gallery of Art
2KBTPvdjlioKhMDtGnjxLQ,Own website,986,a4e0f6a6644d415a992e04bff8c892b0,National Air and Space Museum
CLdpEpYuCtxucAxghJpt6,Own website,"140,000",fcacc9a3e43f49db850c982cfa1f6fc0,NASA
1pXbjFUl4QMsLUA1AqgyCR,Flickr Commons,"3,338",fcacc9a3e43f49db850c982cfa1f6fc0,NASA
2fT0VAemKQCRVZG7zMJzsm,Own website,"492,000",67a5dba639be45898aeb53f409043e32,Metropolitan Museum of Art
15XIkANyXzYdIHKFhDBRbM,Wikimedia Commons,"388,934",67a5dba639be45898aeb53f409043e32,Metropolitan Museum of Art
3TDRu50gWYVnbHXespJvXI,Own website,"152,550",78ca87f00cae4303a21f1953fb338c30,J. Paul Getty Trust
7eDJxoOvuQNTBSOhjysioV,Own website,"88,120",78ca87f00cae4303a21f1953fb338c30,J. Paul Getty Trust
58ZWWNc11Xw6UQAv34Zguu,Flickr Commons,72,78ca87f00cae4303a21f1953fb338c30,J. Paul Getty Trust
2dj69JENOVHfHF6AmmoOM9,Own website,"10,501",021e5b9b797f47a88b8bcdf1914b3dfe,Indianapolis Museum of Art at Newfields
20tJUK0dnVRmwdhphPRbSI,Own website,424,3ae60ad359c84bcbb1f26cc971c1354f,Hirshhorn Museum and Sculpture Garden
36SeHcG9ss69YtUceRKDYo,Own website,"50,000",c5085c1227af4b0e925e6c38a9c06873,Grand Rapids Public Museum
5rcs8BWMGitp6ozyAGORyD,Own website,"3,135",78245f9c58384c31a6055e6df46c8e2c,Freer Gallery of Art
6D28QKxNeTjftF77uUXzlP,Own website,"43,167",c5d25d56dc6a4579b620c9de487b0618,"Cooper-Hewitt, National Design Museum"
5keKMnCV0tWM0U1qdLQ4gF,Own website,"36,128",4d7a5b79919b4f54ad6fa4c096d87e7e,Cleveland Museum of Art
V9SKI1xtHVDhqqrcIUx6N,Own website,"2,700",115a3dae22174141853d6ca9b835427d,Clark Art Institute
2KRsK86OOlvWlEb7wFgxau,Own website,"85,000",c8ce94b71eb94f0385ef53e1a2c476c1,Carnegie Hall Archives
